Time,bus,car
11/1/2021 17:38,0,29
11/1/2021 17:39,0,32
11/1/2021 17:40,26,26
11/1/2021 17:41,24,30
11/1/2021 17:42,24,29
11/1/2021 17:43,0,29
11/1/2021 17:44,0,32
